Site,Y,Species,DBH,D1,D2,D3,D4,D5,D6,HEIGHT,BB,,
PJC,2015,PIED,2.7,0,0,0,0,0,0,2.2,N,,
PJC,2015,PIED,2.7,0,0,0,0,0,0,1.8,N,,
PJC,2015,PIED,2.7,0,0,0,0,0,0,1.7,N,,
PJC,2015,PIED,2.7,0,0,0,0,0,0,1.8,Y,,
PJC,2015,PIED,2.7,0,0,0,0,0,0,0.7,N,,
PJC,2014,PIED,2.75,0,0,0,0,0,0,2.4,Y,,
PJC,2014,PIED,2.78,0,0,0,0,0,0,2,Y,,
PJC,2014,PIED,2.8,2.5,0,0,0,0,0,2,Y,,
PJC,2014,PIED,2.8,0,0,0,0,0,0,2.4,Y,,
PJC,2014,PIED,2.8,0,0,0,0,0,0,2.2,Y,,
PJC,2014,PIED,2.8,0,0,0,0,0,0,2.3,Y,,
PJC,2014,PIED,2.8,0,0,0,0,0,0,2,Y,,
PJC,2014,PIED,2.8,2.1,0,0,0,0,0,2.5,Y,,
PJC,2014,PIED,2.8,0,0,0,0,0,0,2.3,Y,,
PJC,2015,PIED,2.8,1.7,2.8,0,0,0,0,2,N,,
PJC,2015,PIED,2.8,0,0,0,0,0,0,0.55,N,,
PJC,2015,PIED,2.8,3.9,4.6,4,0,0,0,2.2,N,,
PJC,2015,PIED,2.8,0,0,0,0,0,0,1.6,Y,,
